# MGGPlanner map-layer baseline (voxblox TSDF, ROS 1)
# scene: room -10 -10   0 .. 10 10  4; obstacle    2 -1.5    0 ..   4 1.5   2
kind,x,y,z,arg,result
resolution,0,0,0,0,0.2
voxel,-14,-14,0.5,0,unknown
voxel,-14,-14,1.5,0,unknown
voxel,-14,-14,2.5,0,unknown
voxel,-14,-14,3.5,0,unknown
voxel,-14,-14,4.5,0,unknown
voxel,-14,-13,0.5,0,unknown
voxel,-14,-13,1.5,0,unknown
voxel,-14,-13,2.5,0,unknown
voxel,-14,-13,3.5,0,unknown
voxel,-14,-13,4.5,0,unknown
voxel,-14,-12,0.5,0,unknown
voxel,-14,-12,1.5,0,unknown
voxel,-14,-12,2.5,0,unknown
voxel,-14,-12,3.5,0,unknown
voxel,-14,-12,4.5,0,unknown
voxel,-14,-11,0.5,0,unknown
voxel,-14,-11,1.5,0,unknown
voxel,-14,-11,2.5,0,unknown
voxel,-14,-11,3.5,0,unknown
voxel,-14,-11,4.5,0,unknown
voxel,-14,-10,0.5,0,unknown
voxel,-14,-10,1.5,0,unknown
voxel,-14,-10,2.5,0,unknown
voxel,-14,-10,3.5,0,unknown
voxel,-14,-10,4.5,0,unknown
voxel,-14,-9,0.5,0,unknown
voxel,-14,-9,1.5,0,unknown
voxel,-14,-9,2.5,0,unknown
voxel,-14,-9,3.5,0,unknown
voxel,-14,-9,4.5,0,unknown
voxel,-14,-8,0.5,0,unknown
voxel,-14,-8,1.5,0,unknown
voxel,-14,-8,2.5,0,unknown
voxel,-14,-8,3.5,0,unknown
voxel,-14,-8,4.5,0,unknown
voxel,-14,-7,0.5,0,unknown
voxel,-14,-7,1.5,0,unknown
voxel,-14,-7,2.5,0,unknown
voxel,-14,-7,3.5,0,unknown
voxel,-14,-7,4.5,0,unknown
voxel,-14,-6,0.5,0,unknown
voxel,-14,-6,1.5,0,unknown
voxel,-14,-6,2.5,0,unknown
voxel,-14,-6,3.5,0,unknown
voxel,-14,-6,4.5,0,unknown
voxel,-14,-5,0.5,0,unknown
voxel,-14,-5,1.5,0,unknown
voxel,-14,-5,2.5,0,unknown
voxel,-14,-5,3.5,0,unknown
voxel,-14,-5,4.5,0,unknown
voxel,-14,-4,0.5,0,unknown
voxel,-14,-4,1.5,0,unknown
voxel,-14,-4,2.5,0,unknown
voxel,-14,-4,3.5,0,unknown
voxel,-14,-4,4.5,0,unknown
voxel,-14,-3,0.5,0,unknown
voxel,-14,-3,1.5,0,unknown
voxel,-14,-3,2.5,0,unknown
voxel,-14,-3,3.5,0,unknown
voxel,-14,-3,4.5,0,unknown
voxel,-14,-2,0.5,0,unknown
voxel,-14,-2,1.5,0,unknown
voxel,-14,-2,2.5,0,unknown
voxel,-14,-2,3.5,0,unknown
voxel,-14,-2,4.5,0,unknown
voxel,-14,-1,0.5,0,unknown
voxel,-14,-1,1.5,0,unknown
voxel,-14,-1,2.5,0,unknown
